16-2-22 下午2:10
项目统计

     	   片段	    词汇	字符（无空白）	字符（含空白）	#Files	
总共：  	31442	484158	3216212	3820072	   323	
剩余：  	    0	     0	      0	      0	     0	
独特：  	 3469	 92928	 634841	 738820	   202	
剩余独特：	    0	     0	      0	      0	     0	


单文件统计：

文件名                                    	总片段	剩余片段	独特片段	剩余独特片段	总计词汇	剩余词汇	独特词汇	剩余独特词汇	总字符（无空白）	剩余字符（无空白）	独特字符（无空白）	剩余独特字符（无空白）	总字符（含空白）	剩余字符（含空白）	独特字符（含空白）	剩余独特字符（含空白）	
4.0/en/test-doubles.xml                	182	   0	  49	     0	3780	   0	1745	     0	   25030	        0	    13289	          0	   31429	        0	    17356	          0	
4.0/en/testing-practices.xml           	 28	   0	   0	     0	 510	   0	   0	     0	    2620	        0	        0	          0	    3100	        0	        0	          0	
4.0/en/textui.xml                      	186	   0	  29	     0	1744	   0	 572	     0	   10597	        0	     3735	          0	   12695	        0	     4745	          0	
4.0/en/upgrading.xml                   	 13	   0	  12	     0	 315	   0	 314	     0	    1928	        0	     1919	          0	    2205	        0	     2196	          0	
4.0/en/writing-tests-for-phpunit.xml   	153	   0	  17	     0	2667	   0	 686	     0	   18073	        0	     4721	          0	   21770	        0	     5484	          0	
4.1/en/annotations.xml                 	162	   0	   0	     0	1855	   0	   0	     0	   12203	        0	        0	          0	   14624	        0	        0	          0	
4.1/en/assertions.xml                  	535	   0	  45	     0	6425	   0	2071	     0	   48949	        0	    14524	          0	   55648	        0	    15927	          0	
4.1/en/bibliography.xml                	 22	   0	   0	     0	  41	   0	   0	     0	     264	        0	        0	          0	     279	        0	        0	          0	
4.1/en/book.xml                        	 18	   0	   1	     0	  36	   0	   6	     0	     195	        0	       31	          0	     214	        0	       37	          0	
4.1/en/code-coverage-analysis.xml      	 67	   0	   0	     0	1204	   0	   0	     0	    7518	        0	        0	          0	    9078	        0	        0	          0	
4.1/en/configuration.xml               	 91	   0	   1	     0	1072	   0	  69	     0	    7738	        0	      905	          0	    9017	        0	     1143	          0	
4.1/en/database.xml                    	231	   0	   0	     0	5398	   0	   0	     0	   33489	        0	        0	          0	   39997	        0	        0	          0	
4.1/en/extending-phpunit.xml           	 39	   0	   1	     0	 886	   0	  43	     0	    6951	        0	      269	          0	    8640	        0	      305	          0	
4.1/en/fixtures.xml                    	 70	   0	   1	     0	1361	   0	  61	     0	    8470	        0	      680	          0	   10039	        0	      703	          0	
4.1/en/incomplete-and-skipped-tests.xml	 69	   0	   3	     0	 759	   0	  92	     0	    4574	        0	      569	          0	    5400	        0	      632	          0	
4.1/en/index.xml                       	  1	   0	   0	     0	   1	   0	   0	     0	       5	        0	        0	          0	       5	        0	        0	          0	
4.1/en/installation.xml                	 60	   0	   4	     0	 942	   0	  65	     0	    5559	        0	      382	          0	    6466	        0	      455	          0	
4.1/en/logging.xml                     	 27	   0	   0	     0	 838	   0	   0	     0	    5660	        0	        0	          0	    6879	        0	        0	          0	
4.1/en/organizing-tests.xml            	 26	   0	   3	     0	 511	   0	  63	     0	    2966	        0	      490	          0	    3543	        0	      537	          0	
4.1/en/other-uses-for-tests.xml        	 19	   0	   1	     0	 575	   0	  19	     0	    3024	        0	      134	          0	    3580	        0	      150	          0	
4.1/en/selenium.xml                    	103	   0	   3	     0	1525	   0	 142	     0	   10519	        0	      963	          0	   12217	        0	     1060	          0	
4.1/en/strict-mode.xml                 	 16	   0	   0	     0	 401	   0	   0	     0	    2168	        0	        0	          0	    2548	        0	        0	          0	
4.1/en/test-doubles.xml                	182	   0	   0	     0	3780	   0	   0	     0	   25030	        0	        0	          0	   31429	        0	        0	          0	
4.1/en/testing-practices.xml           	 28	   0	   0	     0	 510	   0	   0	     0	    2620	        0	        0	          0	    3100	        0	        0	          0	
4.1/en/textui.xml                      	188	   0	   2	     0	1758	   0	 423	     0	   10692	        0	     2820	          0	   12796	        0	     3709	          0	
4.1/en/upgrading.xml                   	 13	   0	   0	     0	 315	   0	   0	     0	    1928	        0	        0	          0	    2205	        0	        0	          0	
4.1/en/writing-tests-for-phpunit.xml   	153	   0	  15	     0	2667	   0	 629	     0	   18081	        0	     4219	          0	   21778	        0	     4796	          0	
4.2/en/annotations.xml                 	163	   0	   6	     0	1916	   0	 127	     0	   12536	        0	      897	          0	   15062	        0	     1106	          0	
4.2/en/assertions.xml                  	480	   0	  42	     0	5197	   0	1840	     0	   40625	        0	    12769	          0	   45874	        0	    14046	          0	
